term,cleaned_pinyin,updated_pinyin,status
堤岸,dī àn,dī àn,no_split
相安,xiāng ān,xiāng ān,no_split
早安,zǎo ān,zǎo ān,no_split
白垩,bái è,bái è,no_split
定案,dìng àn,dìng àn,no_split
企鹅,qǐ é,qǐ é,no_split
山坳,shān ào,shān ào,no_split
老少边穷,lǎo shǎo biān qióng,lǎo shǎo biān qióng,no_split
溺爱,nì ài,nì ài,no_split
嗷嗷,áo áo,áo áo,no_split
择偶,zé ǒu,zé ǒu,no_split
公检法,gōng jiǎn fǎ,gōng jiǎn fǎ,no_split
作呕,zuò ǒu,zuò ǒu,no_split
摸爬滚打,mō pá gǔn dǎ,mō pá gǔn dǎ,no_split
疑案,yí àn,yí àn,no_split
万恶,wàn è,wàn è,no_split
血案,xuè àn,xuè àn,no_split
皮袄,pí ǎo,pí ǎo,no_split
沙俄,shā é,shā é,no_split
割爱,gē ài,gē ài,no_split
员额,yuán é,yuán é,no_split
老中青,lǎo zhōng qīng,lǎo zhōng qīng,no_split
高精尖,gāo jīng jiān,gāo jīng jiān,no_split
亲耳,qīn ěr,qīn ěr,no_split
德智体,dé zhì tǐ,dé zhì tǐ,no_split
报恩,bào ēn,bào ēn,no_split
银耳,yín ěr,yín ěr,no_split
至爱,zhì ài,zhì ài,no_split
产儿,chǎn ér,chǎn ér,no_split
生老病死,shēng lǎo bìng sǐ,shēng lǎo bìng sǐ,no_split
问安,wèn ān,wèn ān,no_split
轩昂,xuān áng,xuān áng,no_split
伟岸,wěi àn,wěi àn,no_split
爷儿,yé ér,yé ér,no_split
到案,dào àn,dào àn,no_split
柴米油盐,chái mǐ yóu yán,chái mǐ yóu yán,no_split
老弱病残,lǎo ruò bìng cán,lǎo ruò bìng cán,no_split
晦暗,huì àn,huì àn,no_split
悬案,xuán àn,xuán àn,no_split
致哀,zhì āi,zhì āi,no_split
医案,yī àn,yī àn,no_split
教案,jiào àn,jiào àn,no_split
责权利,zé quán lì,zé quán lì,no_split
苦熬,kǔ áo,kǔ áo,no_split
出尔反尔,chū ěr fǎn ěr,chū ěr fǎn ěr,no_split
反其道而行之,fǎn qí dào ér xíng zhī,fǎn qí dào ér xíng zhī,no_split
判案,pàn àn,pàn àn,no_split
度量衡,dù liàng héng,dù liàng héng,no_split
冤假错案,yuān jiǎ cuò àn,yuān jiǎ cuò àn,no_split
等额,děng é,děng é,no_split
互爱,hù ài,hù ài,no_split
高矮,gāo ǎi,gāo ǎi,no_split
飞蛾,fēi é,fēi é,no_split
九牛二虎之力,jiǔ niú èr hǔ zhī lì,jiǔ niú èr hǔ zhī lì,no_split
对偶,duì ǒu,duì ǒu,no_split
一言以蔽之,yī yán yǐ bì zhī,yī yán yǐ bì zhī,no_split
积案,jī àn,jī àn,no_split
登岸,dēng àn,dēng àn,no_split
玩偶,wán ǒu,wán ǒu,no_split
假案,jiǎ àn,jiǎ àn,no_split
莲藕,lián ǒu,lián ǒu,no_split
短平快,duǎn píng kuài,duǎn píng kuài,no_split
名特优新,míng tè yōu xīn,míng tè yōu xīn,no_split
下颚,xià è,xià è,no_split
弃儿,qì ér,qì ér,no_split
断案,duàn àn,duàn àn,no_split
开恩,kāi ēn,kāi ēn,no_split
示爱,shì ài,shì ài,no_split
丧偶,sàng ǒu,sàng ǒu,no_split
油盐酱醋,yóu yán jiàng cù,yóu yán jiàng cù,no_split
楼堂馆所,lóu táng guǎn suǒ,lóu táng guǎn suǒ,no_split
脏乱差,zāng luàn chà,zāng luàn chà,no_split
熟谙,shú ān,shú ān,no_split
谢恩,xiè ēn,xiè ēn,no_split
孤傲,gū ào,gū ào,no_split
雾霭,wù ǎi,wù ǎi,no_split
另案,lìng àn,lìng àn,no_split
关停并转,guān tíng bìng zhuǎn,guān tíng bìng zhuǎn,no_split
中耳,zhōng ěr,zhōng ěr,no_split
书案,shū àn,shū àn,no_split
风花雪月,fēng huā xuě yuè,fēng huā xuě yuè,no_split
气昂昂,qì áng áng,qì áng áng,no_split
暮霭,mù ǎi,mù ǎi,no_split
抚爱,fǔ ài,fǔ ài,no_split
以讹传讹,yǐ é chuán é,yǐ é chuán é,no_split
文案,wén àn,wén àn,no_split
夹袄,jiá ǎo,jiá ǎo,no_split
奇案,qí àn,qí àn,no_split
护岸,hù àn,hù àn,no_split
缺额,quē é,quē é,no_split
招安,zhāo ān,zhāo ān,no_split
打砸抢,dǎ zá qiǎng,dǎ zá qiǎng,no_split
欲速则不达,yù sù zé bù dá,yù sù zé bù dá,no_split
求偶,qiú ǒu,qiú ǒu,no_split
五爱,wǔ ài,wǔ ài,no_split
阻遏,zǔ è,zǔ è,no_split
犯案,fàn àn,fàn àn,no_split
逆耳,nì ěr,nì ěr,no_split
吃拿卡要,chī ná qiǎ yào,chī ná qiǎ yào,no_split
传帮带,chuán bāng dài,chuán bāng dài,no_split
狂傲,kuáng ào,kuáng ào,no_split
顺耳,shùn ěr,shùn ěr,no_split
错愕,cuò è,cuò è,no_split
兼爱,jiān ài,jiān ài,no_split
困厄,kùn è,kùn è,no_split
偏安,piān ān,piān ān,no_split
关隘,guān ài,guān ài,no_split
病案,bìng àn,bìng àn,no_split
第一,dì yī,dì yī,no_split
然而,rán ér,rán ér,no_split
从而,cóng ér,cóng ér,no_split
十一,shí yī,shí yī,no_split
公安,gōng ān,gōng ān,no_split
方案,fāng àn,fāng àn,no_split
女儿,nǚ ér,nǚ ér,no_split
因而,yīn ér,yīn ér,no_split
两岸,liǎng àn,liǎng àn,no_split
总额,zǒng é,zǒng é,no_split
不安,bù ān,bù ān,no_split
治安,zhì ān,zhì ān,no_split
反而,fǎn ér,fǎn ér,no_split
障碍,zhàng ài,zhàng ài,no_split
金额,jīn é,jīn é,no_split
草案,cǎo àn,cǎo àn,no_split
形,qūbié,qūbié,no_split
黑暗,hēi àn,hēi àn,no_split
答案,dá àn,dá àn,no_split
喜爱,xǐ ài,xǐ ài,no_split
热爱,rè ài,rè ài,no_split
可爱,kě ài,kě ài,no_split
口岸,kǒu àn,kǒu àn,no_split
进而,jìn ér,jìn ér,no_split
海岸,hǎi àn,hǎi àn,no_split
档案,dàng àn,dàng àn,no_split
骄傲,jiāo ào,jiāo ào,no_split
议案,yì àn,yì àn,no_split
平安,píng ān,píng ān,no_split
婴儿,yīng ér,yīng ér,no_split
法案,fǎ àn,fǎ àn,no_split
幼儿,yòu ér,yòu ér,no_split
阻碍,zǔ ài,zǔ ài,no_split
保安,bǎo ān,bǎo ān,no_split
份额,fèn é,fèn é,no_split
提案,tí àn,tí àn,no_split
巨额,jù é,jù é,no_split
亲爱,qīn ài,qīn ài,no_split
数额,shù é,shù é,no_split
一二,yī èr,yī èr,no_split
磺胺,huáng àn,huáng àn,no_split
古奥,gǔ ào,gǔ ào,no_split
内耳,nèi ěr,nèi ěr,no_split
嬉笑怒骂,xī xiào nù mà,xī xiào nù mà,no_split
香案,xiāng àn,xiāng àn,no_split
鱼饵,yú ěr,yú ěr,no_split
吟哦,yín é,yín é,no_split
玄奥,xuán ào,xuán ào,no_split
党政工团,dǎng zhèng gōng tuán,dǎng zhèng gōng tuán,no_split
苟安,gǒu ān,gǒu ān,no_split
首恶,shǒu è,shǒu è,no_split
倨傲,jù ào,jù ào,no_split
奸恶,jiān è,jiān è,no_split
票额,piào é,piào é,no_split
跑冒滴漏,pǎo mào dī lòu,pǎo mào dī lòu,no_split
三下五除二,sān xià wǔ chú èr,sān xià wǔ chú èr,no_split
探案,tàn àn,tàn àn,no_split
满额,mǎn é,mǎn é,no_split
干呕,gān ǒu,gān ǒu,no_split
附耳,fù ěr,fù ěr,no_split
血癌,xuè ái,xuè ái,no_split
工青妇,gōng qīng fù,gōng qīng fù,no_split
妻儿老小,qī ér lǎo xiǎo,qī ér lǎo xiǎo,no_split
铁案,tiě àn,tiě àn,no_split
违拗,wéi ào,wéi ào,no_split
既而,jì ér,jì ér,no_split
佳偶,jiā ǒu,jiā ǒu,no_split
志哀,zhì āi,zhì āi,no_split
问案,wèn àn,wèn àn,no_split
节哀,jié āi,jié āi,no_split
金瓯,jīn ōu,jīn ōu,no_split
上颚,shàng è,shàng è,no_split
俄而,é ér,é ér,no_split
绫罗绸缎,líng luó chóu duàn,líng luó chóu duàn,no_split
挂碍,guà ài,guà ài,no_split
供案,gòng àn,gòng àn,no_split
花萼,huā è,huā è,no_split
外耳,wài ěr,wài ěr,no_split
令爱,lìng ài,lìng ài,no_split
皮笑肉不笑,pí xiào ròu bù xiào,pí xiào ròu bù xiào,no_split
起承转合,qǐ chéng zhuǎn hé,qǐ chéng zhuǎn hé,no_split
假大空,jiǎ dà kōng,jiǎ dà kōng,no_split
错讹,cuò é,cuò é,no_split
群殴,qún ōu,qún ōu,no_split
吹拉弹唱,chuī lā tán chàng,chuī lā tán chàng,no_split
横额,héng é,héng é,no_split
偷安,tōu ān,tōu ān,no_split
条案,tiáo àn,tiáo àn,no_split
几案,jī àn,jī àn,no_split
之乎者也,zhī hū zhě yě,zhī hū zhě yě,no_split
旧案,jiù àn,jiù àn,no_split
原案,yuán àn,yuán àn,no_split
白皑皑,bái ái ái,bái ái ái,no_split
蚕蛾,cán é,cán é,no_split
串案,chuàn àn,chuàn àn,no_split
肉案,ròu àn,ròu àn,no_split
傲岸,ào àn,ào àn,no_split
空额,kòng é,kòng é,no_split
垂爱,chuí ài,chuí ài,no_split
鳏寡孤独,guān guǎ gū dú,guān guǎ gū dú,no_split
苍耳,cāng ěr,cāng ěr,no_split
凶案,xiōng àn,xiōng àn,no_split
欠安,qiàn ān,qiàn ān,no_split
沙鸥,shā ōu,shā ōu,no_split
一碗水端平,yī wǎn shuǐ duān píng,yī wǎn shuǐ duān píng,no_split
旧恶,jiù è,jiù è,no_split
钓饵,diào ěr,diào ěr,no_split
娇儿,jiāo ér,jiāo ér,no_split
子丑寅卯,zǐ chǒu yín mǎo,zǐ chǒu yín mǎo,no_split
要隘,yào ài,yào ài,no_split
门额,mén é,mén é,no_split
香饵,xiāng ěr,xiāng ěr,no_split
蹙额,cù é,cù é,no_split
酒色财气,jiǔ sè cái qì,jiǔ sè cái qì,no_split
桌案,zhuō àn,zhuō àn,no_split
倾耳,qīng ěr,qīng ěr,no_split
药饵,yào ěr,yào ěr,no_split
毒饵,dú ěr,dú ěr,no_split
冷傲,lěng ào,lěng ào,no_split
烟霭,yān ǎi,yān ǎi,no_split
傻大黑粗,shǎ dà hēi cū,shǎ dà hēi cū,no_split
违碍,wéi ài,wéi ài,no_split
一物降一物,yī wù xiáng yī wù,yī wù xiáng yī wù,no_split
望闻问切,wàng wén wèn qiè,wàng wén wèn qiè,no_split
错爱,cuò ài,cuò ài,no_split
举哀,jǔ āi,jǔ āi,no_split
乳儿,rǔ ér,rǔ ér,no_split
碑额,bēi é,bēi é,no_split
存案,cún àn,cún àn,no_split
红案,hóng àn,hóng àn,no_split
白案,bái àn,bái àn,no_split
驳岸,bó àn,bó àn,no_split
灯蛾,dēng é,dēng é,no_split
有奶便是娘,yǒu nǎi biàn shì niáng,yǒu nǎi biàn shì niáng,no_split
无风不起浪,wú fēng bù qǐ làng,wú fēng bù qǐ làng,no_split
聒耳,guō ěr,guō ěr,no_split
丸散膏丹,wán sǎn gāo dān,wán sǎn gāo dān,no_split
拢岸,lǒng àn,lǒng àn,no_split
农轻重,nóng qīng zhòng,nóng qīng zhòng,no_split
险隘,xiǎn ài,xiǎn ài,no_split
脉案,mài àn,mài àn,no_split
起岸,qǐ àn,qǐ àn,no_split
抬爱,tái ài,tái ài,no_split
关碍,guān ài,guān ài,no_split
笃爱,dǔ ài,dǔ ài,no_split
的,de,de,no_split
的,dī,dī,no_split
的,dì,dì,no_split
的,dí,dí,no_split
了,le,le,no_split
了,liǎo,liǎo,no_split
是,shì,shì,no_split
一,yī,yī,no_split
在,zài,zài,no_split
不,bù,bù,no_split
我,wǒ,wǒ,no_split
有,yǒu,yǒu,no_split
人,rén,rén,no_split
这,zhè,zhè,no_split
个,gè,gè,no_split
他,tā,tā,no_split
和,hè,hè,no_split
和,hú,hú,no_split
和,huó,huó,no_split
和,huò,huò,no_split
和,hé,hé,no_split
中,zhòng,zhòng,no_split
中,zhōng,zhōng,no_split
来,lái,lái,no_split
国,guó,guó,no_split
上,shǎng,shǎng,no_split
上,shang,shang,no_split
上,shàng,shàng,no_split
大,dà,dà,no_split
们,men,men,no_split
们,mén,mén,no_split
要,yāo,yāo,no_split
要,yào,yào,no_split
会,kuài,kuài,no_split
会,huì,huì,no_split
为,wèi,wèi,no_split
为,wéi,wéi,no_split
就,jiù,jiù,no_split
到,dào,dào,no_split
说,shuì,shuì,no_split
说,shuō,shuō,no_split
年,nián,nián,no_split
你,nǐ,nǐ,no_split
也,yě,yě,no_split
以,yǐ,yǐ,no_split
地,de,de,no_split
地,dì,dì,no_split
生,shēng,shēng,no_split
时,shí,shí,no_split
对,duì,duì,no_split
出,chū,chū,no_split
好,hào,hào,no_split
好,hǎo,hǎo,no_split
能,néng,néng,no_split
发,fā,fā,no_split
发,fà,fà,no_split
可,kè,kè,no_split
可,kě,kě,no_split
都,dōu,dōu,no_split
都,dū,dū,no_split
子,zi,zi,no_split
子,zǐ,zǐ,no_split
着,zhāo,zhāo,no_split
着,zháo,zháo,no_split
着,zhe,zhe,no_split
着,zhuó,zhuó,no_split
过,guò,guò,no_split
过,guo,guo,no_split
得,dé,dé,no_split
得,de,de,no_split
得,děi,děi,no_split
去,qù,qù,no_split
家,jiā,jiā,no_split
家,jia,jia,no_split
下,xia,xia,no_split
下,xià,xià,no_split
还,hái,hái,no_split
还,huán,huán,no_split
还,xuán,xuán,no_split
多,duō,duō,no_split
那,nà,nà,no_split
里,li,li,no_split
里,lǐ,lǐ,no_split
学,xué,xué,no_split
作,zuō,zuō,no_split
作,zuò,zuò,no_split
日,rì,rì,no_split
看,kān,kān,no_split
看,kàn,kàn,no_split
经,jìng,jìng,no_split
经,jīng,jīng,no_split
后,hòu,hòu,no_split
道,dào,dào,no_split
行,háng,háng,no_split
行,xíng,xíng,no_split
成,chéng,chéng,no_split
现,xiàn,xiàn,no_split
没,méi,méi,no_split
没,mò,mò,no_split
自,zì,zì,no_split
事,shì,shì,no_split
天,tiān,tiān,no_split
开,kāi,kāi,no_split
么,me,me,no_split
用,yòng,yòng,no_split
小,xiǎo,xiǎo,no_split
工,gōng,gōng,no_split
而,ér,ér,no_split
她,tā,tā,no_split
于,yú,yú,no_split
想,xiǎng,xiǎng,no_split
很,hěn,hěn,no_split
起,qǐ,qǐ,no_split
第,dì,dì,no_split
点,diǎn,diǎn,no_split
业,yè,yè,no_split
方,fāng,fāng,no_split
进,jìn,jìn,no_split
主,zhǔ,zhǔ,no_split
动,dòng,dòng,no_split
与,yù,yù,no_split
与,yǔ,yǔ,no_split
样,yàng,yàng,no_split
月,yuè,yuè,no_split
法,fǎ,fǎ,no_split
民,mín,mín,no_split
等,děng,děng,no_split
同,tóng,tóng,no_split
把,bà,bà,no_split
把,bǎ,bǎ,no_split
面,miàn,miàn,no_split
但,dàn,dàn,no_split
实,shí,shí,no_split
分,fēn,fēn,no_split
分,fèn,fèn,no_split
所,suǒ,suǒ,no_split
心,xīn,xīn,no_split
新,xīn,xīn,no_split
定,dìng,dìng,no_split
部,bù,bù,no_split
本,běn,běn,no_split
如,rú,rú,no_split
之,zhī,zhī,no_split
理,lǐ,lǐ,no_split
全,quán,quán,no_split
然,rán,rán,no_split
前,qián,qián,no_split
从,cóng,cóng,no_split
长,cháng,cháng,no_split
长,zhǎng,zhǎng,no_split
给,gěi,gěi,no_split
给,jǐ,jǐ,no_split
些,xiē,xiē,no_split
当,dàng,dàng,no_split
当,dāng,dāng,no_split
两,liǎng,liǎng,no_split
只,zhǐ,zhǐ,no_split
只,zhī,zhī,no_split
意,yì,yì,no_split
高,gāo,gāo,no_split
种,zhòng,zhòng,no_split
种,zhǒng,zhǒng,no_split
关,guān,guān,no_split
力,lì,lì,no_split
将,jiàng,jiàng,no_split
将,qiāng,qiāng,no_split
将,jiāng,jiāng,no_split
者,zhě,zhě,no_split
公,gōng,gōng,no_split
重,chóng,chóng,no_split
重,zhòng,zhòng,no_split
最,zuì,zuì,no_split
三,sān,sān,no_split
产,chǎn,chǎn,no_split
做,zuò,zuò,no_split
知,zhī,zhī,no_split
市,shì,shì,no_split
十,shí,shí,no_split
明,míng,míng,no_split
问,wèn,wèn,no_split
情,qíng,qíng,no_split
被,bèi,bèi,no_split
电,diàn,diàn,no_split
因,yīn,yīn,no_split
加,jiā,jiā,no_split
其,jī,jī,no_split
其,qí,qí,no_split
体,tǐ,tǐ,no_split
体,tī,tī,no_split
文,wén,wén,no_split
又,yòu,yòu,no_split
次,cì,cì,no_split
机,jī,jī,no_split
真,zhēn,zhēn,no_split
间,jiān,jiān,no_split
间,jiàn,jiàn,no_split
回,huí,huí,no_split
政,zhèng,zhèng,no_split
外,wài,wài,no_split
话,huà,huà,no_split
合,gě,gě,no_split
合,hé,hé,no_split
已,yǐ,yǐ,no_split
手,shǒu,shǒu,no_split
化,huà,huà,no_split
正,zhēng,zhēng,no_split
正,zhèng,zhèng,no_split
展,zhǎn,zhǎn,no_split
建,jiàn,jiàn,no_split
别,biè,biè,no_split
别,bié,bié,no_split
果,guǒ,guǒ,no_split
儿,ér,ér,no_split
老,lǎo,lǎo,no_split
见,xiàn,xiàn,no_split
见,jiàn,jiàn,no_split
表,biǎo,biǎo,no_split
美,měi,měi,no_split
名,míng,míng,no_split
社,shè,shè,no_split
让,ràng,ràng,no_split
无,wú,wú,no_split
二,èr,èr,no_split
制,zhì,zhì,no_split
西,xī,xī,no_split
内,nèi,nèi,no_split
场,chǎng,chǎng,no_split
场,cháng,cháng,no_split
员,yuán,yuán,no_split
员,yún,yún,no_split
报,bào,bào,no_split
水,shuǐ,shuǐ,no_split
元,yuán,yuán,no_split
应,yìng,yìng,no_split
应,yīng,yīng,no_split
走,zǒu,zǒu,no_split
向,xiàng,xiàng,no_split
女,nǚ,nǚ,no_split
头,tóu,tóu,no_split
头,tou,tou,no_split
性,xìng,xìng,no_split
比,bǐ,bǐ,no_split
相,xiāng,xiāng,no_split
相,xiàng,xiàng,no_split
再,zài,zài,no_split
利,lì,lì,no_split
教,jiāo,jiāo,no_split
教,jiào,jiào,no_split
活,huó,huó,no_split
打,dá,dá,no_split
打,dǎ,dǎ,no_split
位,wèi,wèi,no_split
并,bīng,bīng,no_split
并,bìng,bìng,no_split
它,tā,tā,no_split
特,tè,tè,no_split
车,chē,chē,no_split
车,jū,jū,no_split
各,gě,gě,no_split
各,gè,gè,no_split
先,xiān,xiān,no_split
使,shǐ,shǐ,no_split
己,jǐ,jǐ,no_split
题,tí,tí,no_split
由,yóu,yóu,no_split
代,dài,dài,no_split
该,gāi,gāi,no_split
记,jì,jì,no_split
系,jì,jì,no_split
系,xì,xì,no_split
太,tài,tài,no_split
物,wù,wù,no_split
总,zǒng,zǒng,no_split
区,qū,qū,no_split
度,duó,duó,no_split
度,dù,dù,no_split
提,tí,tí,no_split
通,tòng,tòng,no_split
通,tōng,tōng,no_split
东,dōng,dōng,no_split
平,píng,píng,no_split
常,cháng,cháng,no_split
信,xìn,xìn,no_split
此,cǐ,cǐ,no_split
感,gǎn,gǎn,no_split
今,jīn,jīn,no_split
门,mén,mén,no_split
爱,ài,ài,no_split
解,jiè,jiè,no_split
解,jiě,jiě,no_split
解,xiè,xiè,no_split
入,rù,rù,no_split
安,ān,ān,no_split
资,zī,zī,no_split
保,bǎo,bǎo,no_split
干,gàn,gàn,no_split
干,gān,gān,no_split
万,wàn,wàn,no_split
认,rèn,rèn,no_split
结,jiē,jiē,no_split
结,jié,jié,no_split
及,jí,jí,no_split
身,shēn,shēn,no_split
更,gèng,gèng,no_split
更,gēng,gēng,no_split
义,yì,yì,no_split
任,rén,rén,no_split
任,rèn,rèn,no_split
放,fàng,fàng,no_split
北,běi,běi,no_split
才,cái,cái,no_split
目,mù,mù,no_split
务,wù,wù,no_split
几,jǐ,jǐ,no_split
几,jī,jī,no_split
海,hǎi,hǎi,no_split
四,sì,sì,no_split
品,pǐn,pǐn,no_split
世,shì,shì,no_split
快,kuài,kuài,no_split
斯,sī,sī,no_split
立,lì,lì,no_split
济,jǐ,jǐ,no_split
济,jì,jì,no_split
气,qì,qì,no_split
听,tīng,tīng,no_split
期,qī,qī,no_split
设,shè,shè,no_split
路,lù,lù,no_split
科,kē,kē,no_split
强,jiàng,jiàng,no_split
强,qiǎng,qiǎng,no_split
强,qiáng,qiáng,no_split
或,huò,huò,no_split
少,shào,shào,no_split
少,shǎo,shǎo,no_split
管,guǎn,guǎn,no_split
告,gào,gào,no_split
原,yuán,yuán,no_split
量,liáng,liáng,no_split
量,liàng,liàng,no_split
思,sī,sī,no_split
队,duì,duì,no_split
金,jīn,jīn,no_split
受,shòu,shòu,no_split
口,kǒu,kǒu,no_split
接,jiē,jiē,no_split
基,jī,jī,no_split
像,xiàng,xiàng,no_split
啊,á,á,no_split
啊,ā,ā,no_split
啊,a,a,no_split
啊,à,à,no_split
啊,ǎ,ǎ,no_split
军,jūn,jūn,no_split
处,chǔ,chǔ,no_split
处,chù,chù,no_split
件,jiàn,jiàn,no_split
计,jì,jì,no_split
直,zhí,zhí,no_split
变,biàn,biàn,no_split
论,lún,lún,no_split
论,lùn,lùn,no_split
吧,ba,ba,no_split
吧,bā,bā,no_split
呢,ne,ne,no_split
呢,ní,ní,no_split
呢,nī,nī,no_split
候,hòu,hòu,no_split
书,shū,shū,no_split
决,jué,jué,no_split
农,nóng,nóng,no_split
组,zǔ,zǔ,no_split
觉,jiào,jiào,no_split
觉,jué,jué,no_split
改,gǎi,gǎi,no_split
克,kè,kè,no_split
党,dǎng,dǎng,no_split
交,jiāo,jiāo,no_split
术,shù,shù,no_split
山,shān,shān,no_split
五,wǔ,wǔ,no_split
吃,chī,chī,no_split
带,dài,dài,no_split
办,bàn,bàn,no_split
战,zhàn,zhàn,no_split
条,tiáo,tiáo,no_split
统,tǒng,tǒng,no_split
死,sǐ,sǐ,no_split
华,huà,huà,no_split
华,huá,huá,no_split
非,fēi,fēi,no_split
完,wán,wán,no_split
程,chéng,chéng,no_split
马,mǎ,mǎ,no_split
导,dǎo,dǎo,no_split
界,jiè,jiè,no_split
难,nàn,nàn,no_split
难,nán,nán,no_split
白,bái,bái,no_split
共,gòng,gòng,no_split
许,xǔ,xǔ,no_split
求,qiú,qiú,no_split
治,zhì,zhì,no_split
据,jù,jù,no_split
收,shōu,shōu,no_split
每,měi,měi,no_split
形,xíng,xíng,no_split
象,xiàng,xiàng,no_split
数,cù,cù,no_split
数,shǔ,shǔ,no_split
数,shù,shù,no_split
数,shuò,shuò,no_split
张,zhāng,zhāng,no_split
领,lǐng,lǐng,no_split
至,zhì,zhì,no_split
