hanzi,pinyin,pos,definition_id,origin_definition_cn,definition_cn,origin_definition_en,definition_en
且,jū,名词,35212,"用于人名,如范雎,也作范且。",用于人名，如“范雎”也可写作“范且”,"[used in the name of a person, e.g. 范雎fàn jū, also written as 范且fànjū]",used in personal names
且,qiě,副词,35221,暂且;姑且,暂时地,just; for the time being; for a while,temporarily
且,qiě,副词,35222,表示经久,（方言）长时间地,for a long time; for quite some time,for long
且,qiě,名词,35223,(Qiě)姓。,姓氏,a surname,surname
且,qiě,副词,35224,尚且,尚且,even,even
且,qiě,连词,35225,并且;而且,并且，而且,and; also; both ... and ...,and
丕,pī,形容词,435611,大,巨大的,big; great,great
世,shì,名词,24411,人的一辈子,人的一生,lifetime; life,lifetime
世,shì,名词,24412,有血统关系的人相传而成的辈分,家族中按血统划分的辈分,"generation; seniority in generation hierarchy of a family or clan, passed on through people of the same blood relationship",generation
世,shì,形容词,24413,一代又一代,代代相传的,from generation to generation,generational
世,shì,名词,24414,指有世交的关系,指世交关系,of people who maintain good family relations,family friendship
世,shì,名词,24415,时代,历史时期,age; time; era,era
世,shì,名词,24416,社会;人间,人类社会,world; society,world
世,shì,名词,24417,(Shì)姓。,姓氏,a surname,surname
世代,shì dài,名词,953811,(很多)年代,漫长的年代,"long period of time; many, many years",ages
世代,shì dài,名词,953812,好几辈子,连续多代人,for generations; generation after generation,generations
世界,shì jiè,名词,600411,自然界和人类社会的一切事物的总和,自然界与人类社会的总和,world; sum of all things in nature and the human society,world
世界,shì jiè,名词,600412,指宇宙,（佛教）宇宙,universe,universe
世界,shì jiè,名词,600413,地球上所有地方,全球范围,all over the world,global
世界,shì jiè,名词,600414,指社会的形势、风气,社会现状,existing conditions of society; social situation and practice,social climate
世界,shì jiè,名词,600415,领域;人的某种活动范围,特定领域,field; scope; sphere; realm,realm
世界观,shì jiè guān,名词,953911,"人们对世界的总的根本的看法。由于人们的社会地位不同,观察问题的角度不同,形成不同的世界观。",人们对世界的总体看法,world outlook; people's general and basic views of the world coming out of their different social status and perspective;,worldview
世纪,shì jì,名词,647511,"计算年代的单位,一百年为一世纪。",一百年的时间单位,"century; unit to calculate time, which is equivalent to 100 years",century
丘,qiū,名词,209611,小土山;土堆,小型土山,mound; hillock; knoll; hummock; rideau,hillock
丘,qiū,动词,209612,浮厝,临时安葬,"cover with earth, or bricks and stones, prior to burial",temporary burial
丘,qiū,量词,209613,"水田分隔成大小不同的块,一块叫一丘",（量词）用于水田分块,plot (of paddy field bordered by ridges),plot
丘,qiū,名词,209614,(Qiū)姓。,姓氏,a surname,surname
丘陵,qiū líng,名词,937911,连绵成片的小山,连绵的低矮山地,hills,hills
丙,bǐng,名词,239911,天干的第三位。,天干第三位,3rd of the 10 Heavenly stems,3rd heavenly stem
丙,bǐng,名词,239912,丙丁,指代火,fire,fire
业,yè,名词,10111,行业,特定经济领域,line of business; trade; industry,industry
业,yè,名词,10112,职业,谋生工作,occupation; profession; employment; job,occupation
业,yè,名词,10113,学业,学习课程,course of study,studies
业,yè,名词,10114,事业,人生追求的事业,cause; enterprise,cause
业,yè,名词,10115,产业;财产,拥有的财产,estate; property,property
业,yè,名词,10116,"佛教徒称一切行为、言语、思想为业,分别叫做身业、口业、意业,合称三业,包括善恶两面,一般专指恶业。",佛教指行为、言语、思想（尤指恶业）,"(Buddhism) karma; deed, speech and ideology, called the three karmas by Buddhists, including both good and evil; gen. evil",karma
业,yè,动词,10117,从事(某种行业),从事某职业,engage in (a profession),engage in
业,yè,名词,10118,(Yè)姓。,姓氏,a surname,surname
业,yè,副词,10119,已经,已经,already,already
业余,yè yú,形容词,776311,工作时间以外的,工作之外的时间,spare time; after-work,leisure time
业余,yè yú,形容词,776312,非专业的,非职业性质的,nonprofessional; amateur,amateur
业务,yè wù,名词,776211,个人的或某个机构的专业工作,个人或机构所从事的专业工作或商业活动,vocational work; professional work; business,business; professional work
丛,cóng,动词,174111,聚集,聚集；集合在一起,crowd together,gather; crowd together
丛,cóng,名词,174112,生长在一起的草木,密集生长的草木,clump; thicket; grove,thicket; grove
丛,cóng,名词,174113,泛指聚集在一起的人或东西,聚集在一起的人或事物,crowd; collection,collection; crowd
丛,cóng,名词,174114,(Cóng)姓。,姓氏,a surname,a surname
东,dōng,名词,25111,"四个主要方向之一,太阳出来的一边",四个基本方向之一，太阳升起的方向,"east; one of the four directions, where the sun rises from",east
东,dōng,名词,25112,"主人(古时主位在东,宾位在西)",主人（古时主位在东）,"host (in ancient times, the host sat on the east side, while the guest sat on the west side); master; owner",host; master
东,dōng,名词,25114,(Dōng)姓。,姓氏,a surname,a surname
东张西望,dōng zhāng xī wàng,动词,2000133,四处张望的样子,四处张望的样子,look around,look around
东西,dōng xi,名词,553711,泛指各种具体的或抽象的事物,泛指各种具体或抽象的事物,thing; stuff; matter,thing; stuff
东西,dōng xi,名词,553712,特指人或动物(多含厌恶或喜爱的感情,特指人或动物（含感情色彩）,used to refer to a person or animal in either derogatory or affectionate way,creature (derogatory or affectionate)
东西,dōng xī,名词,553721,东边和西边。,东边和西边,east and west,east and west
东西,dōng xī,名词,553722,从东到西(距离),从东到西的距离,from east to west,from east to west
东道主,dōng dào zhǔ,名词,838211,请客的主人。,请客的主人,host,host
丝,sī,名词,94211,蚕丝。,蚕吐出的纤维,silk,silk
丝,sī,名词,94213,(某些计量单位的)万分之一,某些计量单位的万分之一,"one 10,000th (of a certain unit of measure)",one ten-thousandth
丝,sī,名词,94214,计量单位名称,计量单位名称,"si, unit of measure",si (unit)
丝,sī,形容词,94215,极少或极小的量,极小的量,a tiny bit; very small amount,a tiny bit
丝毫,sī háo,形容词,755611,极小或很少;一点儿,极小的量；一点儿,a bit; the slightest amount or degree,a bit; slightest
丝绸,sī chóu,名词,755511,用蚕丝或人造丝织成的纺织品的总称。,用蚕丝或人造丝织成的纺织品,silk; silk cloth; general term for fabrics woven of natural or artificial silk,silk
丞,chéng,名词,344111,古代辅助的官吏,古代辅助主要官员的官吏,assistant to an official in ancient China,ancient assistant official
丢,diū,动词,162911,遗失;失去,遗失；失去,lose; forfeit; be missing,lose
丢,diū,动词,162912,扔,投掷；抛,throw; cast; toss,throw
丢,diū,动词,162913,搁置;放,搁置；放下,toss aside; lay aside; pigeon-hole; put on the shelf,put aside
丢三落四,diū sān là sì,形容词,838111,形容马虎或记忆力不好而好忘事。,形容因马虎或记性差而常忘事,forgetful; scatterbrained; be always forgetting things because of carelessness or bad memory,forgetful
丢人,diū rén,动词,838011,丢脸,失去面子；丢脸,lose face; be disgraced,lose face
两,liǎng,数词,13111,一个加一个是两个。‘两’字一般用于量词和‘半、千、万、亿’前,数字二（用于量词前）,"[usu. used before measure words and before 半 bàn, 千 qiān, 万 wàn, and 亿 yì] two; one plus one equals two",two
两,liǎng,名词,13112,双方,双方,both sides; either side,both sides
两,liǎng,数词,13113,"表示不定的数目,和‘几’差不多",表示不定数量，相当于“几”,[more or less the same as‘几’ jǐ] a few; some,a few
两,liǎng,量词,13114,"重量单位。10钱等于1两,旧制16两等于1斤,市制10市两等于1市斤。",传统重量单位（16两为1斤）,"liang, traditional unit of weight; 10 qian equal to 1 liang; in the old system, 16 liang equal to 1 jin; in the current system, 10 shiliang equal to 1 shijin",liang (weight unit)
严,yán,形容词,51611,严密;紧密,紧密；没有空隙,tight; close,tight
严,yán,形容词,51612,严厉;严格,严厉；不放松,strict; stern,strict
严,yán,形容词,51613,程度深;厉害,程度深;厉害,"severe, heavy; extreme",severe
严,yán,名词,51614,指父亲,指父亲,father,father
严,yán,名词,51615,(Yán)姓。,姓氏,a surname,a surname
严厉,yán lì,形容词,994711,严肃而厉害,严肃而厉害,stern; severe,stern
严密,yán mì,形容词,994811,"事物之间结合得紧,没有空隙",结合紧密；无空隙,tight; close,tight
严密,yán mì,形容词,994812,周到;没有疏漏,周到；无疏漏,well-conceived; tight,well-conceived
严密,yán mì,动词,994813,使严密,使紧密,tighten up,tighten
严寒,yán hán,形容词,994411,(气候)极冷,气候极冷,severe frigidity; bitter cold,bitter cold
严峻,yán jùn,形容词,994611,严厉;严肃,严厉；严肃,stern; severe; rigorous; grim,grim
严格,yán gé,形容词,657411,在遵守制度或掌握标准时认真不放松,认真遵守不放松,strict; rigorous; rigid; stringent,strict
严禁,yán jìn,动词,994511,严格禁止,严格禁止,strictly forbid or prohibit,strictly forbid
严肃,yán sù,形容词,775011,(神情、气氛等)使人感到敬畏的,使人敬畏的神情或气氛,"(of expression, atmosphere, etc.) stern; grave; serious; keep a straight face",serious
严肃,yán sù,形容词,775012,(作风、态度等)严格认真,作风态度严格认真,(of style of work and attitude) strict; earnest,earnest
严肃,yán sù,动词,775013,使严肃,使变得严肃,tighten up,tighten up
严重,yán zhòng,形容词,657511,程度深;影响大;情势危急,程度深；情势危急,serious; grave; critical,critical
丧,sāng,名词,154711,跟死了人有关的(事情),与死亡相关的事务,funeral; mourning,funeral
丧,sàng,动词,154721,丧失,失去,lose; be bereaved,lose
丧失,sàng shī,动词,944811,失去,失去,lose; forfeit,forfeit
个,gè,量词,1521,用于没有专用量词的名词(有些名词除了用专用量词之外也能用‘个’),量词，用于没有专用量词的名词（部分名词也可用此量词替代专用量词）,[used before nouns without a special classifier of their own (some nouns can also use this instead of using their special classifier)],general classifier for nouns without specific classifiers
